System,Mode,NU,P,Change,Win,Pk,WinDiff,Precision,Recall,F1,BLEU,TER_br,Len
amara.shift.1.20,shift,1,20,8.007,3,0.07,0.077,0.803,0.803,0.803,91.04,4.03,0.98
amara.shift.1.40,shift,1,40,32.027,3,0.138,0.152,0.604,0.604,0.604,81.65,7.69,0.96
amara.shift.1.60,shift,1,60,71.959,3,0.206,0.223,0.408,0.408,0.408,72.2,10,0.95
amara.shift.1.80,shift,1,80,127.973,3,0.268,0.288,0.212,0.212,0.212,62.08,12.17,0.94
amara.shift.1.100,shift,1,100,200,3,0.333,0.352,0.015,0.015,0.015,50.08,13.08,0.94
amara.shift.2.20,shift,2,20,16.014,3,0.127,0.145,0.803,0.803,0.803,90.17,4.48,0.95
amara.shift.2.40,shift,2,40,64.055,3,0.251,0.282,0.612,0.612,0.612,80,9.07,0.92
amara.shift.2.60,shift,2,60,143.918,3,0.36,0.399,0.424,0.424,0.424,69.84,13.04,0.9
amara.shift.2.80,shift,2,80,255.945,3,0.458,0.501,0.241,0.241,0.241,59.07,16.93,0.89
amara.shift.2.100,shift,2,100,400,3,0.547,0.583,0.055,0.055,0.055,46.98,19.15,0.88
amara.shift.3.20,shift,3,20,24.021,3,0.173,0.208,0.804,0.804,0.804,89.72,4.77,0.94
amara.shift.3.40,shift,3,40,96.082,3,0.317,0.377,0.627,0.627,0.627,80.41,9.22,0.9
amara.shift.3.60,shift,3,60,215.877,3,0.45,0.519,0.451,0.451,0.451,70.76,13.08,0.86
amara.shift.3.80,shift,3,80,383.918,3,0.564,0.637,0.295,0.295,0.295,60.67,16.75,0.85
amara.shift.3.100,shift,3,100,600,3,0.677,0.737,0.122,0.122,0.122,49.81,19.3,0.87
amara.add.20,add,0,20,8.007,3,0.058,0.118,0.833,1,0.909,89.95,2.6,1
amara.add.40,add,0,40,32.027,3,0.114,0.222,0.714,1,0.833,81.31,5.19,1
amara.add.60,add,0,60,71.959,3,0.156,0.319,0.625,1,0.769,73.75,7.78,1
amara.add.80,add,0,80,127.973,3,0.205,0.415,0.556,1,0.714,66.98,10.38,1
amara.add.100,add,0,100,200,3,0.233,0.489,0.5,1,0.667,61.43,12.97,1
amara.delete.20,delete,0,20,8.007,3,0.116,0.119,1,0.8,0.889,90.27,2.6,0.86
amara.delete.40,delete,0,40,32.027,3,0.232,0.237,1,0.6,0.75,80.11,5.19,0.71
amara.delete.60,delete,0,60,71.959,3,0.349,0.354,1,0.4,0.572,69.47,7.78,0.62
amara.delete.80,delete,0,80,127.973,3,0.467,0.469,1,0.2,0.333,58.29,10.38,0.48
amara.delete.100,delete,0,100,200,3,0.585,0.585,0,0,0,46.62,12.97,0
amara.replace.20,replace,0,20,8.007,3,0,0,1,1,1,95.18,0.87,1
amara.replace.40,replace,0,40,32.027,3,0,0,1,1,1,90.99,1.73,1
amara.replace.60,replace,0,60,71.959,3,0,0,1,1,1,87.03,2.59,1
amara.replace.80,replace,0,80,127.973,3,0,0,1,1,1,83.26,3.46,1
amara.replace.100,replace,0,100,200,3,0,0,1,1,1,79.48,4.32,1
