System,Mode,NU,P,Change,Win,Pk,WinDiff,SegSim,BoundSim,Precision,Recall,F1,BLEU,TER_br,Len,EOL/EOB additions,EOL/EOB % of additions
amara.shift.1.20,shift,1,20,8.007,3,0.069,0.077,0.995085170925213,0.901056958308867,0.802,0.802,0.802,90.84,4.07,0.98,,
amara.shift.1.40,shift,1,40,32.027,3,0.137,0.15,0.990068253412671,0.800527240773286,0.606,0.606,0.606,81.82,7.67,0.97,,
amara.shift.1.60,shift,1,60,71.959,3,0.204,0.221,0.985255512775639,0.70369284876905,0.411,0.411,0.411,72.24,10.09,0.95,,
amara.shift.1.80,shift,1,80,127.973,3,0.27,0.291,0.980311515575779,0.604105571847507,0.211,0.211,0.211,62.5,12.24,0.95,,
amara.shift.1.100,shift,1,100,200,3,0.33,0.354,0.97548419087621,0.507615700058582,0.019,0.019,0.019,52.29,13.51,0.94,,
amara.shift.2.20,shift,2,20,16.014,3,0.128,0.148,0.981186559327966,0.680851063829787,0.804,0.804,0.804,89.88,4.57,0.96,,
amara.shift.2.40,shift,2,40,64.055,3,0.249,0.28,0.963204410220511,0.457185886402754,0.613,0.613,0.613,79.64,9.08,0.92,,
amara.shift.2.60,shift,2,60,143.918,3,0.353,0.393,0.946199393302998,0.292753067484663,0.431,0.431,0.431,69.21,13.36,0.91,,
amara.shift.2.80,shift,2,80,255.945,3,0.468,0.507,0.928946447322366,0.158549222797927,0.242,0.242,0.242,58.21,16.82,0.89,,
amara.shift.2.100,shift,2,100,400,3,0.552,0.587,0.913006066970015,0.055273994298385,0.06,0.06,0.06,46.59,18.95,0.88,,
amara.shift.3.20,shift,3,20,24.021,3,0.168,0.203,0.981609497141524,0.686630218687873,0.806,0.806,0.806,89.75,4.78,0.93,,
amara.shift.3.40,shift,3,40,96.082,3,0.319,0.374,0.965027418037568,0.476190476190476,0.629,0.629,0.629,79.89,9.15,0.89,,
amara.shift.3.60,shift,3,60,215.877,3,0.448,0.517,0.949349550810874,0.318217510797016,0.458,0.458,0.458,69.58,12.98,0.87,,
amara.shift.3.80,shift,3,80,383.918,3,0.574,0.641,0.934094621397736,0.190723495702006,0.281,0.281,0.281,59.74,16.71,0.86,,
amara.shift.3.100,shift,3,100,600,3,0.677,0.737,0.920298098238245,0.094599072233267,0.126,0.126,0.126,49.51,19.65,0.86,,
amara.add.20,add,0,20,35.795,3,0.203,0.414,0.959922996149808,0.553461163470913,0.554,1,0.713,72.33,10.46,1,687,117/61
amara.add.40,add,0,40,143.077,3,0.323,0.692,0.919904328549761,0.382782647786019,0.383,1,0.554,51.87,20.91,1,1373,235/122
amara.add.60,add,0,60,322.001,3,0.388,0.877,0.879827324699568,0.292460930791688,0.293,1,0.453,36.11,31.37,1,2060,352/183
amara.add.80,add,0,80,572.516,3,0.411,0.971,0.839750320849376,0.236626372099486,0.237,1,0.383,24.9,41.83,1,2747,470/245
amara.add.100,add,0,100,894.621,3,0.415,1,0.799673316999183,0.198693267996733,0.199,1,0.332,15.69,52.29,1,3434,588/306
amara.delete.20,delete,0,20,8.007,3,0.115,0.119,0.990082837475207,0.800352319436289,1,0.8,0.889,93.62,2.6,0.86,,
amara.delete.40,delete,0,40,32.027,3,0.232,0.236,0.980107338700268,0.599530240751615,1,0.6,0.75,86.8,5.19,0.73,,
amara.delete.60,delete,0,60,71.959,3,0.349,0.354,0.970219344300548,0.400469759248385,1,0.4,0.572,80.2,7.78,0.6,,
amara.delete.80,delete,0,80,127.973,3,0.467,0.471,0.960273013650682,0.200234879624193,1,0.2,0.333,73.36,10.38,0.45,,
amara.delete.100,delete,0,100,200,3,0.585,0.585,0.950326683000817,0,0,0,0,65.81,12.97,0,,
amara.replace.20,replace,0,20,8.007,3,0,0,0.995041418737604,0.900176159718144,1,1,1,93.56,0.87,1,,
amara.replace.40,replace,0,40,32.027,3,0,0,0.990068253412671,0.800058719906048,1,1,1,87.42,1.73,1,,
amara.replace.60,replace,0,60,71.959,3,0,0,0.985095088087738,0.699941280093952,1,1,1,81.24,2.59,1,,
amara.replace.80,replace,0,80,127.973,3,0,0,0.980121922762805,0.599823840281856,1,1,1,74.76,3.46,1,,
amara.replace.100,replace,0,100,200,3,0,0,0.975163341500408,0.5,1,1,1,68.01,4.32,1,,
